Region,Country,Size,Owned by,SME?,# Enterprises,Have Checking,Have Overdraft,Have Loan,Have Access to Credit,Access to finance as major/severe barrier,Does not need credit,Unserved,Underserved,Well served,Loan size - average size per revenue,Average loan duration (months),Loan rejection rate,Private Commercial Bank as Source of Financing,State-owned Bank and/or Govt. Agency as Source of Financing,Non-bank Financial Institution as Source of Financing,Other Source of Financing,Average credit value gap per enterprise,Total credit value gap,Average deposit gap per enterprise,Total deposit gap
Latin America,,Micro,Male,,5756377,91%,59%,49%,74%,33%,10%,16%,57%,17%,13%,,0%,84%,15%,2%,0%,14671,84450847457,643,3703793027
Latin America,,Very Small,Male,,1300255,72%,41%,30%,49%,27%,32%,19%,37%,12%,16%,17.55,18%,83%,11%,5%,1%,14567,18940752221,1693,2200799970
Latin America,,Small,Male,,663290,87%,60%,50%,69%,30%,18%,13%,54%,14%,10%,19.27,22%,83%,12%,3%,1%,76083,50464765699,4270,2832386206
Latin America,,Medium,Male,,130474,88%,72%,59%,78%,25%,13%,8%,60%,18%,11%,22.29,10%,89%,8%,2%,1%,615054,80248546554,25521,3329857041
MENA,,Informal,Male,,11195023,36%,7%,9%,11%,,48%,41%,8%,3%,,84,0%,,,,,2986,33432280300,1421,15905486218
MENA,,Micro,Male,,2784615,75%,13%,44%,50%,44%,44%,6%,38%,13%,,62.71,0%,,,,,3051,8495827144,1438,4003933401
MENA,,Very Small,Male,,768313,74%,37%,18%,41%,40%,34%,24%,31%,10%,15%,42.3,22%,66%,14%,20%,0%,5925,4552535445,1781,1368239585
MENA,,Small,Male,,696419,77%,33%,26%,41%,42%,31%,29%,35%,5%,20%,41.91,35%,40%,59%,0%,0%,67723,47163668713,2056,1432063177
MENA,,Medium,Male,,367345,86%,66%,56%,72%,39%,13%,15%,64%,9%,16%,38.82,23%,38%,62%,0%,0%,524075,192515962928,5769,2119362249
South Asia,,Informal,Male,,52439584,41%,6%,8%,13%,21%,49%,40%,7%,4%,20%,39.09,28%,0%,0%,0%,100%,2685,140798930682,4974,260827279579
South Asia,,Micro,Male,,6066076,62%,12%,6%,15%,11%,55%,31%,9%,6%,16%,36.49,7%,100%,0%,0%,0%,3640,22083467344,4094,24831521551
South Asia,,Very Small,Male,,2009271,64%,14%,8%,14%,17%,52%,33%,8%,6%,18%,26.06,2%,97%,2%,0%,0%,4893,9831276590,4169,8375888842
South Asia,,Small,Male,,167042,89%,32%,26%,33%,23%,43%,23%,20%,14%,13%,40.64,10%,85%,7%,3%,5%,15201,2539186305,5350,893676008
South Asia,,Medium,Male,,7080,99%,49%,41%,51%,14%,32%,17%,27%,24%,13%,41.25,4%,88%,10%,2%,0%,133797,947287154,3880,27471937
Sub-Saharan Africa,,Informal,Male,,17098945,38%,5%,5%,5%,48%,46%,49%,4%,2%,,,,17%,0%,28%,55%,1129,19312807869,765,13079581288
Sub-Saharan Africa,,Micro,Male,,7478484,83%,12%,33%,38%,43%,26%,36%,25%,13%,,22.32,25%,62%,24%,6%,9%,2468,18459874546,784,5865669915
Sub-Saharan Africa,,Very Small,Male,,675254,82%,10%,11%,17%,46%,20%,63%,11%,6%,22%,17.21,45%,60%,23%,14%,4%,4334,2926491485,500,337757188
Sub-Saharan Africa,,Small,Male,,1738674,90%,15%,12%,20%,39%,20%,60%,14%,6%,16%,25.57,25%,72%,15%,12%,1%,15763,27407506992,843,1464965613
Sub-Saharan Africa,,Medium,Male,,567479,99%,25%,16%,30%,27%,45%,25%,20%,10%,22%,31.44,12%,83%,10%,5%,2%,59257,33627268422,1637,928697324
,,Informal,Male,,184454243,36%,7%,9%,11%,28%,48%,41%,7%,3%,35%,46.99,55%,6%,46%,10%,39%,3190,588401095690,8465,1561421446660
,,Micro,Male,,43946510,77%,30%,35%,46%,30%,31%,23%,32%,14%,14%,34.48,10%,80%,15%,2%,3%,6473,284467721083,3974,174649697446
,,Very Small,Male,,11602314,65%,16%,21%,28%,21%,30%,42%,18%,10%,17%,28.31,42%,62%,31%,6%,1%,9813,113850974778,11234,130336894455
,,Small,Male,,5212909,86%,25%,27%,37%,31%,24%,39%,28%,10%,16%,30.76,19%,65%,29%,5%,1%,39968,208350836908,9655,50329223611
,,Medium,Male,,1205430,93%,45%,36%,51%,30%,29%,19%,40%,12%,18%,34,15%,69%,28%,3%,1%,292877,353042365340,13249,15970485898
,Afghanistan,,Male,,996757,35%,8%,7%,14%,30%,46%,40%,10%,4%,5%,,,2%,2%,0%,96%,1927,1920337146,2776,2767116263
,Albania,,Male,,94400,59%,27%,18%,30%,16%,38%,32%,20%,10%,22%,42.55,6%,100%,0%,0%,0%,7770,733454663,3131,295527487
,Algeria,,Male,,1290826,49%,13%,13%,17%,48%,44%,39%,13%,4%,15%,36.06,36%,33%,67%,0%,0%,9322,12032762162,1236,1595016141
,Angola,,Male,,570338,52%,3%,3%,3%,,34%,63%,2%,1%,,,,0%,0%,0%,100%,12698,7242171759,1315,749971284
,Argentina,,Male,,1030188,29%,16%,13%,19%,37%,43%,38%,15%,3%,5%,,,33%,18%,48%,0%,47868,49313055777,8984,9254898405
,Armenia,,Male,,115798,74%,23%,27%,37%,31%,34%,30%,28%,9%,21%,,3%,74%,5%,2%,19%,12932,1497525273,2844,329383357
,Australia,,Male,,809867,,,,,,,,,,,,,,,,,,,,
,Austria,,Male,,259492,,,,,,,,,,,,,,,,,,,,
,Azerbaijan,,Male,,257160,43%,9%,12%,15%,32%,45%,40%,11%,4%,16%,,42%,94%,2%,4%,0%,5791,1489188599,3295,847386014
,Bahamas,,Male,,15114,,11%,12%,12%,,47%,40%,9%,4%,,,,,,,,40756,615996310,11408,172417723
,Bahrain,,Male,,42865,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,54158,2321522561,3057,131042240
,Bangladesh,,Male,,8357632,91%,6%,8%,13%,31%,47%,40%,9%,4%,,,,,,,,1038,8678488188,1259,10519465234
,Barbados,,Male,,10755,,11%,12%,12%,,47%,40%,9%,4%,,,,,,,,27340,294051646,6182,66487763
,Belarus,,Male,,169809,50%,13%,18%,23%,39%,41%,36%,18%,4%,12%,,13%,56%,43%,0%,0%,13014,2209835022,4390,745434765
,Belgium,,Male,,405977,,,,,,,,,,,,,,,,,,,,
,Belize,,Male,,21358,,11%,12%,12%,,47%,40%,9%,4%,,,,,,,,31879,680855145,4692,100216776
,Benin,,Male,,420055,,5%,5%,5%,,51%,43%,4%,2%,,,,,,,,3734,1568406982,621,260899189
,Bhutan,,Male,,26075,44%,7%,9%,14%,28%,46%,40%,10%,4%,26%,,,,,,,2698,70355025,3278,85485463
,Bolivia,,Male,,529497,50%,14%,14%,17%,31%,44%,39%,12%,5%,18%,,,88%,0%,12%,0%,6318,3345525354,1804,955298285
,Bosnia and Herzegovina,,Male,,161743,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,18445,2983328600,9193,1486967100
,Botswana,,Male,,66310,32%,4%,4%,4%,,60%,37%,3%,1%,,,,0%,0%,0%,100%,13823,916588385,2290,151879215
,Brazil,,Male,,9402521,54%,19%,16%,21%,36%,43%,37%,15%,6%,7%,,5%,66%,32%,1%,1%,13491,126845886259,4482,42143418655
,Brunei Darussalam,,Male,,34797,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,150427,5234353087,155977,5427453178
,Bulgaria,,Male,,322064,66%,9%,15%,18%,16%,42%,40%,13%,5%,18%,,53%,95%,5%,0%,0%,7008,2256993069,1455,468724459
,Burkina Faso,,Male,,676900,34%,5%,5%,5%,,14%,81%,4%,2%,,,,0%,0%,0%,100%,5012,3392515328,588,397714298
,Burma (Myanmar),,Male,,2437814,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,2461,5998593181,7394,18026195501
,Burundi,,Male,,249484,50%,8%,10%,10%,47%,47%,43%,7%,3%,14%,42.5,29%,88%,2%,1%,9%,1894,472624023,224,55953109
,Cambodia,,Male,,590641,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,2135,1261304171,8445,4987805163
,Cameroon,,Male,,527516,45%,12%,12%,12%,,27%,60%,9%,4%,,,,0%,0%,0%,100%,717,378101454,182,95875741
,Canada,,Male,,1107898,,,,,,,,,,,,,,,,,,,,
,Cape Verde,,Male,,10925,52%,7%,7%,7%,,43%,50%,5%,2%,,,,,,,,6837,74697254,417,4557959
,Central African Republic,,Male,,91265,,5%,5%,5%,,51%,43%,4%,2%,,,,,,,,6322,576964334,605,55213449
,Chad,,Male,,460648,,5%,5%,5%,,51%,43%,4%,2%,,,,,,,,4156,1914658661,623,286942052
,Chile,,Male,,1283424,52%,21%,21%,24%,22%,41%,35%,17%,7%,13%,,,95%,5%,0%,0%,22132,28404819204,3151,4043533078
,China,,Male,,50542354,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,3504,177102531367,15332,774938120125
,Colombia,,Male,,2314172,64%,26%,27%,33%,53%,34%,33%,27%,6%,18%,,,99%,0%,0%,0%,9197,21284399674,1427,3302061016
,Comoros,,Male,,19474,,5%,5%,5%,,51%,43%,4%,2%,,,,,,,,5246,102156629,654,12736969
,"Congo, Dem. Rep.",,Male,,2161984,28%,6%,6%,6%,,35%,59%,4%,2%,,,,33%,0%,50%,17%,3985,8615150064,535,1157011034
,"Congo, Rep.",,Male,,115013,,5%,5%,5%,,51%,43%,4%,2%,,,,,,,,14704,1691144793,1283,147589947
,Costa Rica,,Male,,181452,45%,13%,15%,16%,40%,45%,38%,12%,4%,16%,,,30%,60%,8%,2%,17105,3103783443,2651,480950513
,Cote d'Ivoire,,Male,,725722,41%,0%,0%,0%,49%,21%,79%,0%,0%,,,,,,,,6419,4658655329,759,550617077
,Croatia,,Male,,182550,55%,14%,14%,20%,20%,43%,37%,13%,7%,9%,,19%,81%,11%,7%,0%,18210,3324218971,9249,1688366671
,Cuba,,Male,,564264,,11%,12%,12%,,47%,40%,9%,4%,,,,,,,,21465,12111870492,6008,3390119549
,Czech Republic,,Male,,743124,70%,29%,21%,34%,33%,41%,25%,29%,5%,10%,,14%,68%,30%,1%,1%,37709,28022752098,18786,13960691713
,Democratic People's Republic of Korea,,Male,,1779829,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,7648,13612104701,8772,15612935661
,Denmark,,Male,,193080,,,,,,,,,,,,,,,,,,,,
,Djibouti,,Male,,39152,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,4921,192652369,311,12164616
,Dominican Republic,,Male,,358152,,11%,12%,12%,,47%,40%,9%,4%,,,,,,,,7096,2541596263,3179,1138470641
,Ecuador,,Male,,933797,59%,28%,15%,29%,20%,39%,32%,19%,10%,8%,,,86%,0%,14%,0%,16770,15659515506,2255,2105579028
,Egypt,,Male,,4505321,55%,7%,9%,11%,42%,48%,41%,8%,3%,,49.31,100%,,,,,1495,6737310263,2303,10373977535
,El Salvador,,Male,,280922,42%,13%,15%,16%,42%,45%,39%,13%,4%,24%,,,70%,2%,27%,0%,4526,1271516836,1216,341654863
,Equatorial Guinea,,Male,,19474,,5%,5%,5%,,51%,43%,4%,2%,,,,,,,,48192,938495200,6009,117012321
,Eritrea,,Male,,153350,,5%,5%,5%,,51%,43%,4%,2%,,,,,,,,3213,492753831,564,86464784
,Estonia,,Male,,49068,65%,17%,24%,28%,11%,39%,33%,14%,14%,13%,,15%,97%,3%,0%,0%,15585,764726834,5082,249356336
,Ethiopia,,Male,,1599442,64%,10%,19%,21%,43%,40%,39%,14%,7%,,22.26,25%,61%,25%,5%,9%,1892,3025516971,239,381832246
,Fiji,,Male,,39417,53%,9%,9%,13%,5%,48%,39%,9%,4%,18%,,,100%,0%,0%,0%,6431,253477429,14725,580403870
,Finland,,Male,,204481,,,,,,,,,,,,,,,,,,,,
,France,,Male,,2004039,,,,,,,,,,,,,,,,,,,,
,Gabon,,Male,,44727,,5%,5%,5%,,51%,43%,4%,2%,,,,,,,,33365,1492301185,2235,99981398
,Gambia,,Male,,52326,35%,10%,7%,10%,38%,47%,43%,6%,3%,16%,7.88,19%,94%,6%,0%,0%,1435,75098923,179,9352489
,Georgia,,Male,,86423,48%,9%,12%,15%,38%,46%,39%,10%,4%,16%,,18%,95%,5%,0%,0%,6519,563390072,3520,304228480
,Germany,,Male,,2269925,,,,,,,,,,,,,,,,,,,,
,Ghana,,Male,,916818,43%,6%,7%,7%,61%,48%,45%,5%,2%,14%,16.53,29%,63%,22%,15%,0%,3012,2761470082,563,516392438
,Greece,,Male,,718423,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,48018,34497570076,27079,19454109714
,Grenada,,Male,,5038,,11%,12%,12%,,47%,40%,9%,4%,,,,,,,,13904,70047355,3892,19606295
,Guatemala,,Male,,485672,14%,11%,10%,13%,20%,58%,30%,4%,9%,17%,,,49%,0%,26%,25%,7566,3674382186,3777,1834164612
,Guinea,,Male,,414360,28%,6%,6%,6%,58%,47%,46%,5%,2%,20%,10.74,38%,44%,0%,56%,0%,1838,761604799,252,104559161
,Guinea-Bissau,,Male,,49137,32%,5%,6%,6%,81%,44%,49%,4%,2%,13%,30,100%,75%,0%,25%,0%,1855,91151325,305,14997704
,Guyana,,Male,,40353,,11%,12%,12%,,47%,40%,9%,4%,,,,,,,,5801,234094057,1622,65448993
,Haiti,,Male,,488693,,11%,12%,12%,,47%,40%,9%,4%,,,,,,,,4347,2124539055,1217,594659709
,Honduras,,Male,,422431,47%,16%,21%,23%,18%,40%,37%,14%,9%,24%,,,98%,0%,1%,1%,11491,4854070528,2848,1203274051
,Hong Kong,,Male,,423672,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,44450,18832224338,105785,44817952707
,Hungary,,Male,,498966,66%,20%,20%,25%,11%,47%,28%,18%,6%,8%,,37%,87%,12%,1%,0%,16799,8382033801,6910,3447897363
,Iceland,,Male,,20694,,,,,,,,,,,,,,,,,,,,
,India,,Male,,38844076,45%,7%,8%,13%,21%,50%,40%,6%,4%,20%,39.11,28%,,,,,3109,120768585526,5982,232382440895
,Indonesia,,Male,,24482311,32%,7%,11%,13%,14%,42%,45%,9%,4%,18%,,,42%,51%,7%,0%,585,14329041808,410,10038881040
,Canada,Micro,,,572042,,,,,,,,,,,,,,,,,,,,
,Iran,,Male,,3518088,,6%,8%,13%,,47%,40%,9%,4%,,,,,,,,8677,30525284042,10556,37136480647
,Iraq,,Male,,1443731,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,3908,5642563823,247,356287455
,Ireland,,Male,,114794,,,,,,,,,,,,,,,,,,,,
,Italy,,Male,,3709521,,,,,,,,,,,,,,,,,,,,
,Somalia,,Male,SME,47180,,,,,,,,,,,,,,,,,23277,1098223210,845,39858528
,Jamaica,,Male,,256015,,11%,12%,12%,,47%,40%,9%,4%,,,,,,,,10989,2813223351,2754,705148723
,Japan,,Male,,5359001,,,,,,,,,,,,,,,,,,,,
,Jordan,,Male,,305974,52%,9%,9%,13%,36%,50%,37%,9%,4%,25%,31.05,3%,99%,1%,0%,0%,3474,1062997089,304,93047576
,Kazakhstan,,Male,,494461,48%,9%,11%,14%,26%,45%,40%,10%,4%,23%,,31%,97%,3%,0%,0%,15341,7585616669,7673,3794043296
,Kenya,,Male,,1750543,44%,7%,7%,8%,51%,49%,43%,6%,2%,16%,,,,,,,2845,4980475295,1188,2079403184
,Kuwait,,Male,,125852,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,88230,11104007326,5522,694949401
,Kyrgyz Republic,,Male,,104667,31%,8%,9%,13%,19%,47%,40%,9%,4%,22%,,35%,66%,22%,12%,0%,1366,142990179,997,104365165
,Laos,,Male,,259110,41%,7%,9%,12%,26%,48%,40%,9%,3%,53%,,0%,2%,98%,0%,0%,1487,385238087,4598,1191329610
,Latvia,,Male,,78265,62%,12%,23%,26%,31%,41%,32%,20%,7%,18%,,22%,76%,23%,2%,0%,21908,1714626763,4261,333463329
,Lebanon,,Male,,132187,42%,8%,11%,14%,44%,47%,39%,10%,4%,,82.65,0%,,,,,5484,724849600,754,99627065
,Lesotho,,Male,,63896,,5%,5%,5%,,51%,43%,4%,2%,,,,,,,,4620,295171407,340,21751660
,Liberia,,Male,,115789,,5%,5%,5%,,51%,43%,4%,2%,,,,,,,,4107,475488653,512,59284300
,Libyan Arab Jamahiriya,,Male,,303428,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,21065,6391685926,1330,403589146
,Lithuania,,Male,,140024,62%,10%,21%,23%,27%,44%,33%,17%,6%,11%,,16%,89%,11%,0%,0%,18703,2618900537,7035,985123670
,Luxembourg,,Male,,22158,,,,,,,,,,,,,,,,,,,,
,Macedonia (the former Yugoslav Republic of),,Male,,62606,74%,13%,25%,34%,28%,31%,35%,22%,11%,22%,,4%,76%,24%,0%,0%,9516,595741134,2079,130176259
,Madagascar,,Male,,459725,6%,6%,6%,6%,47%,30%,64%,4%,2%,,,,,,,,5159,2371501187,733,337193100
,Malawi,,Male,,961728,,5%,5%,5%,,51%,43%,4%,2%,,,,,,,,881,846931005,110,105857652
,Malaysia,,Male,,1340537,50%,8%,9%,12%,9%,48%,40%,8%,4%,,,100%,,,,,9505,12742296470,12830,17198976384
,Maldives,,Male,,11267,,6%,8%,13%,,47%,40%,9%,4%,,,,,,,,6359,71642584,8265,93115168
,Mali,,Male,,515525,35%,5%,5%,5%,,27%,67%,4%,2%,,,,20%,0%,60%,20%,2173,1120426084,235,121144929
,Mauritania,,Male,,101537,39%,8%,7%,8%,50%,46%,46%,6%,2%,15%,22.92,59%,78%,9%,13%,0%,8613,874541354,704,71441079
,Mauritius,,Male,,86656,76%,12%,12%,12%,49%,59%,29%,12%,0%,,,,,,,,5018,434850843,434,37608710
,Mexico,,Male,,6791676,21%,11%,12%,13%,20%,48%,39%,9%,4%,19%,18.09,20%,91%,8%,1%,0%,6249,42441735962,986,6696846214
,Micronesia,,Male,,4751,51%,7%,10%,12%,50%,47%,41%,9%,4%,51%,,,36%,55%,0%,9%,3257,15472123,7026,33382220
,Moldova,,Male,,40371,59%,15%,22%,25%,44%,41%,34%,20%,6%,22%,,18%,86%,11%,3%,0%,7298,294643172,2023,81687864
,Mongolia,,Male,,125982,36%,8%,11%,14%,32%,46%,40%,10%,4%,22%,,16%,75%,6%,6%,13%,1174,147923986,3561,448582954
,Montenegro,,Male,,24896,56%,14%,26%,30%,8%,34%,35%,17%,13%,17%,,13%,81%,5%,7%,7%,29838,742832790,11900,296258550
,Morocco,,Male,,1588553,49%,13%,11%,18%,33%,45%,37%,13%,5%,15%,50.73,2%,70%,0%,30%,0%,2986,4743148350,4743,7534498173
,Mozambique,,Male,,332344,32%,6%,6%,6%,52%,51%,44%,4%,2%,15%,17.19,41%,81%,5%,15%,0%,485,161114395,177,58709667
,Namibia,,Male,,67675,56%,13%,9%,14%,15%,48%,38%,8%,6%,14%,57.26,21%,95%,2%,0%,2%,7620,515657139,874,59139834
,Nepal,,Male,,900581,25%,35%,35%,36%,4%,29%,35%,25%,11%,25%,,,1%,0%,0%,99%,983,885496843,1581,1423667314
,Netherlands,,Male,,552476,,,,,,,,,,,,,,,,,,,,
,New Zealand,,Male,,123705,,,,,,,,,,,,,,,,,,,,
,Nicaragua,,Male,,334797,39%,12%,14%,14%,22%,47%,39%,10%,4%,15%,,,86%,3%,11%,0%,3827,1281251288,1006,336851703
,Niger,,Male,,450467,,5%,5%,5%,,51%,43%,4%,2%,,,,,,,,14140,6369489020,1565,705118171
,Nigeria,,Male,,6497477,,7%,6%,8%,,45%,47%,5%,2%,19%,,,,,,,3757,24407813773,323,2096535245
,Norway,,Male,,222493,,,,,,,,,,,,,,,,,,,,
,Oman,,Male,,72334,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,15550,1124759197,1490,107786121
,Pakistan,,Male,,7288218,38%,5%,6%,10%,11%,50%,39%,7%,3%,19%,31.29,0%,100%,0%,0%,0%,1463,10662404181,957,6976206318
,Palestine,,Male,,195760,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,5231,1024024557,330,64659810
,Panama,,Male,,147206,44%,13%,12%,15%,1%,46%,39%,10%,5%,16%,,,98%,0%,0%,2%,5607,825327316,2215,326022015
,Papua New Guinea,,Male,,317470,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,3097,983257492,9322,2959580682
,Paraguay,,Male,,592894,43%,17%,17%,19%,29%,43%,38%,13%,6%,12%,,,82%,0%,18%,0%,5806,3442398850,1465,868647532
,Peru,,Male,,1153464,32%,25%,40%,42%,27%,25%,33%,31%,11%,18%,,,57%,0%,32%,11%,9899,11417945082,3517,4056443848
,Philippines,,Male,,1616055,50%,8%,9%,12%,11%,48%,40%,8%,4%,23%,,,89%,1%,9%,0%,3027,4891209365,2127,3436681977
,Poland,,Male,,1193923,72%,30%,27%,34%,22%,41%,25%,27%,7%,13%,,3%,63%,37%,0%,1%,18092,21599881900,4846,5786063738
,Portugal,,Male,,705867,,,,,,,,,,,,,,,,,,,,
,Qatar,,Male,,46256,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,134987,6243967475,8428,389868651
,Republic of Korea,,Male,,2381024,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,25961,61813868039,78142,186058210728
,Romania,,Male,,731537,31%,12%,13%,17%,39%,46%,37%,12%,4%,24%,,12%,90%,7%,2%,1%,8174,5979837896,8951,6547960184
,Russia,,Male,,2335359,54%,11%,11%,16%,44%,45%,39%,12%,4%,10%,,24%,70%,25%,4%,1%,14153,33051586206,19109,44626046555
,Rwanda,,Male,,144309,50%,11%,12%,13%,30%,46%,41%,8%,5%,25%,43.49,7%,92%,4%,4%,0%,1577,227553635,336,48455224
,Saint Lucia,,Male,,10076,,11%,12%,12%,,47%,40%,9%,4%,,,,,,,,14113,142202547,3950,39802575
,Saint Vincent and the Grenadines,,Male,,5038,,11%,12%,12%,,47%,40%,9%,4%,,,,,,,,11758,59239905,3291,16581284
,Samoa,,Male,,8222,45%,8%,9%,12%,16%,48%,41%,8%,3%,17%,,,100%,0%,0%,0%,6928,56960811,21557,177229681
,Sao Tome and Principe,,Male,,6491,,5%,5%,5%,,51%,43%,4%,2%,,,,,,,,5706,37041564,711,4618371
,Saudi Arabia,,Male,,1459907,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,133732,195236241570,499,728766744
,Senegal,,Male,,383607,46%,7%,7%,8%,43%,47%,45%,6%,2%,12%,26.93,50%,60%,0%,38%,1%,3550,1361876802,236,90375876
,Serbia,,Male,,189484,64%,20%,18%,26%,26%,38%,37%,20%,6%,14%,,24%,94%,5%,0%,1%,14627,2771560054,4621,875617587
,Sierra Leone,,Male,,173683,,5%,5%,5%,,51%,43%,4%,2%,,,,,,,,1798,312339189,212,36736297
,Singapore,,Male,,264409,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,50404,13327353015,125222,33109663672
,Slovakia,,Male,,114926,11%,15%,14%,21%,13%,43%,35%,16%,6%,17%,,34%,75%,14%,6%,5%,19251,2212415553,31681,3641011536
,Slovenia,,Male,,98251,66%,25%,25%,33%,14%,38%,29%,23%,10%,13%,,7%,42%,52%,5%,1%,46445,4563327758,18837,1850801420
,Solomon Islands,,Male,,24802,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,2850,70676435,8577,212734316
,Somalia,,Male,,425778,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,3590,1528351770,227,96504458
,South Africa,,Male,,1245247,51%,9%,7%,10%,14%,49%,41%,5%,5%,14%,32.18,21%,91%,1%,9%,0%,7292,9080240450,7631,9502922820
,Spain,,Male,,2311503,,,,,,,,,,,,,,,,,,,,
,Sri Lanka,,Male,,745234,,6%,8%,13%,,47%,40%,9%,4%,,,,,,,,3512,2617554540,4793,3571860616
,Sudan,,Male,,1558340,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,5981,9320443747,371,578235153
,Suriname,,Male,,25190,,11%,12%,12%,,47%,40%,9%,4%,,,,,,,,12329,310571135,3451,86929040
,Swaziland,,Male,,38587,56%,9%,9%,10%,34%,50%,40%,7%,3%,15%,38.53,13%,77%,16%,6%,1%,5151,198771079,555,21418627
,Sweden,,Male,,343718,,,,,,,,,,,,,,,,,,,,
,Switzerland,,Male,,296485,,,,,,,,,,,,,,,,,,,,
,Syria,,Male,,608079,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,9705,5901119086,503,305678901
,Tajikistan,,Male,,202439,48%,9%,13%,17%,24%,44%,39%,12%,5%,21%,,13%,40%,51%,8%,1%,928,187831053,518,104799723
,Tanzania,,Male,,3110649,43%,6%,6%,6%,46%,47%,47%,5%,2%,27%,15.04,46%,60%,30%,9%,0%,623,1938776749,114,355869257
,Thailand,,Male,,6309625,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,5914,37314311202,19248,121447633721
,Timor-Leste,,Male,,46262,40%,7%,9%,11%,13%,48%,41%,8%,4%,46%,,,58%,25%,17%,0%,1370,63386938,4913,227294102
,Togo,,Male,,201272,,5%,5%,5%,,51%,43%,4%,2%,,,,,,,,4556,916946581,568,114325622
,Tonga,,Male,,4833,52%,9%,11%,14%,10%,46%,40%,10%,3%,29%,,,85%,0%,15%,0%,4224,20413259,9181,44371900
,Trinidad and Tobago,,Male,,57384,,11%,12%,12%,,47%,40%,9%,4%,,,,,,,,34556,1982966684,10272,589437659
,Tunisia,,Male,,415285,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,3794,1575531263,450,186767906
,Turkey,,Male,,3038200,60%,43%,40%,52%,19%,31%,17%,29%,22%,12%,,11%,81%,19%,1%,0%,16558,50305398422,13800,41928275744
,Turkmenistan,,Male,,125304,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,7942,995198026,3983,499122752
